elevation_m,young_Pa
-2.81238204,5669976236
-2.799405113,5642593646
-2.896725764,5848817590
-2.650359227,5330702045
-2.5169847,5055787803
-2.53952675,5101967556
-2.739837015,5517362357
-2.887580358,5829353637
-2.933454369,5927161146
-2.954125989,5971377017
-2.900557285,5856977303
-2.488072306,4996729753
-2.956120859,5975648620
-2.460031862,4939638928
-2.770759511,5582276074
-2.611375576,5249932223
-2.521763088,5065567048
-2.741408584,5520656469
-2.206720592,4432470005
-2.622556161,5273062378
-2.655687437,5341767845
-2.689714955,5412585598
-2.410263784,4838766463
-2.529574646,5081565197
-2.676379013,5384800477
-2.500742036,5022585754
-2.266142831,4550023308
-2.567063061,5158536798
-2.368799953,4755176578
-2.498011294,5017009783
-2.55526072,5134269422
-2.636890432,5302757786
-2.560139713,5144297507
-2.434759602,4888342503
-2.419852149,4858154944
-2.896791491,5848957538
-2.922177424,5903077269
-2.966056565,5996936021
-2.951179252,5965068683
-2.749258799,5537119042
-2.95616215,5975737045
-2.649291284,5328484865
-2.62697473,5282211147
-2.672806335,5377363551
-2.679247285,5390773145
-2.80002811,5643907409
-2.885049006,5823969302
-2.599420143,5225230181
-2.360171733,4737834412
-2.546803998,5116900708
-2.532975036,5088533621
-2.466236018,4952254825
-2.375665802,4768989357
-2.350978549,4719376571
-2.873437934,5799289019
-2.361125835,4739751209
-2.943160742,5947911794
-2.940878581,5943031161
-2.641155462,5311602245
-2.615806659,5259095795
-2.654425299,5339146027
-2.453219929,4925797562
-2.414488625,4847306746
-2.575583387,5176075585
-2.941730541,5944853037
-2.980576847,6028082244
-2.317988284,4653309178
-2.18006266,4380024800
-2.21990908,4458483320
-2.163295328,4347131310
-2.879687754,5812570020
-2.591460515,5208802056
-2.773057658,5587108667
-2.89986569,5855504238
-2.785224439,5612712148
-2.536490468,5095740597
-2.786403682,5615195407
-2.936589445,5933861308
-2.892710305,5840269436
-2.728050623,5492674415
-2.595891721,5217945996
-2.724535772,5485318006
-2.949937557,5962411013
-2.63386875,5296494135
-2.754151297,5547385777
-2.793364962,5629860589
-2.794763216,5632807512
-2.890816138,5836238280
-2.925901416,5911027597
-2.599443102,5225277589
-2.778391901,5598330007
-2.877080668,5807028912
-2.880066107,5813374291
-2.708755842,5452324601
-2.955073468,5973405746
-2.7039953,5442381728
-2.89823421,5852029653
-2.810020714,5664990936
-2.720275683,5476405460
-2.649671354,5329273909
-2.450235299,4919736448
-2.698612694,5431145592
-2.405571449,4829286158
-2.454908819,4929228250
-2.413735797,4845784635
-2.657015469,5344526927
-2.539349083,5101603128
-2.941287007,5943904542
-2.756489248,5552293712
-2.938400747,5937733274
-2.892465872,5839749194
-2.889187111,5832771989
-2.741071136,5519949110
-2.798555189,5640801475
-2.951178865,5965067855
-2.905669654,5867869499
